"id","muni","dpto","elev_sd","elev_mean","elev_max","forest","coffee_yield","roads_all","roads_paved","roads_paths","roads_paved_sh","area","dist_guate","dist_panam"
"15-6","San Felipe","Retalhuleu",226.873871767524,676.922924153035,1360.78393554688,0.609406952965235,1056,46244.8964260714,18635.5833805347,20218.1698981018,0.402975999964151,44.70374297514,111.939890950629,21.8666646197534
"15-7","San Martin Zapotitlan","Retalhuleu",74.4472337731421,563.646477302192,733.552124023438,0.563025210084034,NA,15967.7648275409,11168.4707737464,4799.29405379448,0.699438581064473,10.9024639032274,116.948922424799,29.888432553657
"15-8","San Sebastian","Retalhuleu",43.1281830636652,319.55421903273,427.844909667969,0.378640776699029,NA,14511.2901431075,14511.2901431075,0,1,18.7135891936626,124.071346187459,36.6770973856429
"15-9","Santa Cruz Mulua","Retalhuleu",120.26588513663,192.730907629324,527.530029296875,0.166793602437167,959,99050.0369397169,16252.5395049849,68723.1799650467,0.16408413370786,121.03918633855,119.790161815062,33.8267400008825
"16-1","Alotenango","Sacatepequez",636.353306875608,1709.95474370237,3921.75073242188,0.835514018691589,1029,17233.180143632,13821.4971854896,1630.37194970126,0.802028242628035,98.7762483138117,33.9670592833509,14.5990019654463
"16-10","San Miguel Duenas","Sacatepequez",496.186425361717,1957.90260375932,3849.314453125,0.854430379746835,1111,22000.4736600784,1403.26548230687,1831.27353012663,0.0637834213930223,43.9957918100982,34.4218895568182,9.63007364772005
"16-11","Santa Catarina Barahona","Sacatepequez",189.046092110445,1760.20727364676,2139.99389648438,0.505263157894737,NA,6952.60936895281,0,5373.90086584132,0,8.33086712474553,34.1088499263723,8.15574795798617
"16-12","Santa Lucia Milpas Altas","Sacatepequez",93.4552774510503,1933.13341800988,2249.54296875,0.535714285714286,NA,19647.6838924089,19647.6838924089,0,1,15.4479663701799,18.2087368411288,2.04171566696305
"16-13","Santa Maria de Jesus","Sacatepequez",351.294370409997,2049.57937166528,3714.45727539062,0.711309523809524,1154,27802.8436170574,12817.673539979,6004.19488155948,0.461020236509737,61.7896214470002,22.5698179265682,8.15084351683483
"16-14","Santiago Sacatepequez","Sacatepequez",109.875237568935,2063.79635438948,2504.87548828125,0.272138228941685,1211,38302.6134029114,13623.3143652355,5871.68360553418,0.35567584441118,42.3767841996683,16.4913715105985,0
