"day","month","year","canton","muni","department","MUNID","military","victims","notes","reference","X","X.1","id"
10,8,1983,"","El Estor","Izabal",278,"Y",7,"One family","Casos Presentados Anexo II Tomo IX",NA,"","9-1"
NA,NA,1985,"Las Flores","Dolores","Peten",271,"Y",7,"","Casos Presentados Anexo II Tomo IX",NA,"","12-1"
NA,NA,1981,"Pumpal","Dolores","Peten",271,"Y",20,"","Casos Presentados Anexo II Tomo IX",NA,"","12-1"
10,3,1982,"Los Angeles","Dolores","Peten",271,"Y",23,"","Casos Presentados Anexo II Tomo IX",NA,"","12-1"
30,4,1981,"Tres Aguas","Flores","Peten",264,"Y",20,"","Casos Presentados Anexo II Tomo IX",NA,"","12-3"
27,12,1982,"La Technica","La Libertad","Peten",268,"Y",6,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
29,4,1982,"Los Josephenes","La Libertad","Peten",268,"Y",25,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
23,12,1982,"Buena Fe","La Libertad","Peten",268,"Y",NA,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
NA,NA,1980,"","La Libertad","Peten",268,"Y",5,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
NA,4,1982,"Palencia","La Libertad","Peten",268,"Y",13,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
17,6,1981,"La Bohema","La Libertad","Peten",268,"Y",NA,"","Casos Presentados Anexo II Tomo IX",NA,"","12-4"
1,1,1981,"Palmira","Colomba Costa Cuca","Quetzaltenango",126,"Y",21,"","Casos Presentados Anexo II Tomo IX",NA,"","13-6"
30,8,1984,"","Concepcion Chiquirichapa","Quetzaltenango",120,"Y",13,"","Casos Presentados Anexo II Tomo IX",NA,"","13-7"
17,11,1980,"Los Alamos","San Juan Ostuncalco","Quetzaltenango",118,"Y",12,"","Casos Presentados Anexo II Tomo IX",NA,"","13-19"
30,8,1984,"","San Martin Sacatepequez","Quetzaltenango",121,"Y",13,"","Casos Presentados Anexo II Tomo IX",NA,"","13-20"
NA,NA,1982,"Tibuj","Tajumulco","San Marcos",172,"Y",44,"","Casos Presentados Anexo II Tomo IX",NA,"","17-29"
NA,NA,1981,"Sajquim","Canilla","Quiche",241,"Y",6,"","Casos Presentados Anexo II Tomo X",NA,"","14-1"
4,4,1982,"Amchel","Chajul","Quiche",228,"Y",9,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
5,4,1982,"Fince Covadonga","Chajul","Quiche",228,"Y",42,"","Casos Presentados Anexo II Tomo X",1,"","14-2"
NA,NA,1981,"Chacalte","Chajul","Quiche",228,"Y",5,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
NA,NA,1980,"","Chajul","Quiche",228,"Y",15,"","Casos Presentados Anexo II Tomo X",NA,"","14-2"
