"n_mon","n_year","n_rgim","n_type","p_civ","p_arm","p_pac","p_pol","p_par","p_urn","c_tot","id"
6,1968,"Julio Cesar Mendez Montenegro","killed",0,1,0,0,0,0,2,"7-4"
5,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"11-11"
5,1993,"Jorge Serrano Elias","killed",0,0,0,0,0,0,1,"7-6"
6,1982,"Efrain Rios Montt Schaad","killed",0,0,0,0,0,0,1,"2-4"
6,1993,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"17-11"
6,1993,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"18-3"
7,1993,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"2-2"
8,1993,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"18-1"
8,1993,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"17-1"
8,1993,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"17-1"
7,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,7,"1-2"
7,1982,"Efrain Rios Montt Schaad","injured",0,1,0,0,0,0,2,"1-2"
5,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"7-11"
6,1993,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"20-15"
5,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,7,"8-26"
5,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,6,"8-26"
6,1982,"Efrain Rios Montt Schaad","kidnap",0,1,0,0,0,0,1,"14-20"
6,1982,"Efrain Rios Montt Schaad","tortured",0,1,0,0,0,0,1,"14-20"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,18,"14-20"
6,1982,"Efrain Rios Montt Schaad","tortured",0,1,0,0,0,0,18,"14-20"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,14,"1-13"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,14,"1-13"
6,1980,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,14,"1-13"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"17-3"
6,1982,"Efrain Rios Montt Schaad","killed",0,1,0,0,0,0,2,"17-3"
